Stop Name,latitude,longitude
Abpara Stop North,33.7085956,73.0910351
Embassy road stop North,33.712614225559335,73.09883702662725
Serena Stop East,33.71318912267211,73.1034876300005
Kashmir Chowk East,33.7073179351322,73.10639531788534
Rawal dam chowk East,33.689382095656164,73.11154217169017
Rawal colony East,33.68885063337828,73.11692015917411
Bani Gala East,33.687483656059925,73.13158236627389
N.I.H Stop East,33.68518859462485,73.13506642170162
NARC East,33.67863617072214,73.14065640415753
Shehzad Town East,33.67625663244869,73.1426444605355
Park View City East,33.67418325851652,73.14437636379918
Chak Shehzad Farms East,33.67113790680521,73.14694529648035
Bahria Enclave Stop East,33.66764311079036,73.14989684856765
Chatha Bhaktawar Stop East,33.664547446414595,73.15251774079526
Hostel City East,33.656883009162094,73.15392740547752
University stop East,33.65262434866394,73.15864826947909
Tramari stop East,33.64485322200801,73.163930103023
