Stop Name,latitude,longitude
Karachi company,33.689587894535904,73.03048755173853
Post Office,33.6863386461628,73.03290983058601
Haidari market,33.68891228458696,73.02897650369898
Dusra ishara,33.694361101006486,73.0303266902988
Pehla ishara,33.697997749423344,73.03653504886869
College mor,33.6810870922987,73.01890290698842
Markaz,33.676028321968175,73.01354363270445
G 10 Double road,33.67085374877059,73.01005514672343
G 10 mor,33.66748748846588,73.01263614392076
Golra mor ishara,33.67990825591044,73.00256057776815
G 11/3,33.67633980411437,72.99568428322637
Jafar chowk,33.67100871070803,72.98558917257506
Mirza chowk,33.66631369564956,72.98905119260195
Bank Mor,33.66804892158916,72.99451904783251
G 11 markaz,33.66959206716131,72.99742252829076
127 stop,33.6655974110806,73.00022884925926
Gol masjid,33.66275845097612,73.00240213599898
G 11 ishara,33.65820333102021,72.99541337714352
Nust university,33.64821340401897,72.97874253848958
Islamabad chowk,33.642287563884054,72.96743346297097
G 13,33.63941701671644,72.95977433745485
G 14,33.63459743523128,72.95117948669994
26 no,33.6295536088787,72.93605907530777
