HOME_AREA,WORK_AREA,HOME_LATITUDE,HOME_LONGITUDE,WORK_LATITUDE,WORK_LONGITUDE,GENDER,INCOME_CLASS,PERCENT_TRAVELLERS,TRAVELING_DISTANCE_KM,DIRECT_DISTANCE_KM
F8_E8_F9_E9,FAIZABAD_STADIUM_ROAD,33.7134014,73.03277168,33.65196382,73.07357536,FEMALE,A:Highest,0.001298,8.708,7.8053967789489835
F8_E8_F9_E9,SATELLITE_TOWN,33.7134014,73.03277168,33.63989311,73.06257614,MALE,A:Highest,0.005194,10.92,8.626491733324972
CHAKLALA,BAHRIA1_6_PWD,33.60093813,73.07507165,33.56252679,73.13773117,MALE,A:Highest,0.007791,15.214,7.2066212677836905
GHAURI_BURMA_TOWN_KHANNA,F6_F7_E7,33.62744882,73.13042452,33.72367762,73.06117237,FEMALE,B:Mid,0.011253,17.499,12.472339692038553
F8_E8_F9_E9,BAHRIA8,33.7134014,73.03277168,33.495714,73.085473,FEMALE,B:Mid,0.001298,34.367,24.69290043720854
RAWAL_ROAD,DHA2_ZARAJ,33.61876717,73.073812,33.53117099,73.15604532,MALE,B:Mid,0.002597,16.03,12.365767150599334
ADIALA,F6_F7_E7,33.54623619,73.05209675,33.72367762,73.06117237,FEMALE,C:Low,0.000866,30.506,19.74846856416389
SATELLITE_TOWN,QASIM_MARKET_RANGE_ROAD,33.63989311,73.06257614,33.59000295,73.01657994,FEMALE,B:Mid,0.004328,13.886,6.9940352851389305
G13_G14_GOLRA,GHAURI_BURMA_TOWN_KHANNA,33.64752556,72.95087122,33.62744882,73.13042452,MALE,C:Low,0.000866,25.541,16.771625226935676
QASIM_MARKET_RANGE_ROAD,H10_H11_H12,33.59000295,73.01657994,33.6462776,72.9999366,FEMALE,A:Highest,0.002164,13.979,6.444440836855641
DHA2_ZARAJ,F6_F7_E7,33.53117099,73.15604532,33.72367762,73.06117237,FEMALE,C:Low,0.001731,29.345,23.137963500206336
SHAMSABAD_DHOK_KALA,NAVAL_GULBERG,33.65017158,73.09153509,33.57863522,73.17832789,MALE,A:Highest,0.002597,14.204,11.307913717673356
