Stop Name,latitude,longitude
26 number,33.630087751119135,72.93636414169106
G 14,33.63500733038246,72.95093751607793
G13,33.63976352069443,72.95955491349083
Islamabad chowk,33.642052030034094,72.96527512951569
Nust university,33.64832285444556,72.97798031065636
G 11 ishara,33.65814583011883,72.99493049978797
127 stop,33.665322960482094,73.00018154724424
G 11 markaz,33.66939040453393,72.99754373073458
Bank mor,33.668020579438235,72.99491401594639
Mirza chowk,33.666138488000406,72.9893753653242
Jafar chowk,33.671166782782365,72.9854712041679
G-11/3,33.676600691808005,72.99575715832772
Golra mor ishara,33.68000530728136,73.00224738814994
Double road,33.67099340487072,73.00994305378718
G 10 mor,33.66754895170721,73.01254059336009
Markaz,33.6757566068075,73.01332047720284
College mor,33.681031926884366,73.01838117062093
Pehla ishara,33.683418899455695,73.02279207771758
Haidari market,33.68698590031982,73.0297475076332
Karachi company,33.689587894535904,73.03048755173853
