Stop Name,latitude,longitude
Guggi stop,33.742471146948105,73.1847909323311
Athal Chowk,33.739764518543254,73.1798898770075
Jillani stop,33.734993,73.167624
Shahdara stop,33.734526895080144,73.15921813465796
Malpur stop,33.72891940701313,73.14394717315209
Lake View stop,33.722962966724474,73.13610955281956
Kashmir Chowk,33.707391364072066,73.10637184118197
Golf club,33.70409861846164,73.10786130986529
Rawal Dam Chowk,33.691791240819974,73.11050699637396
Masjid stop,33.682197572035,73.10351645364807
Margalla Town,33.674207517196415,73.09449723175285
Faizabad Stop,33.66124926674932,73.08165332582419
