Stop Name,latitude,longitude
Chirah chowk,33.656431549870426,73.27817662422147
Tumair stop,33.660794990726835,73.2585314225249
Dargala Morh,33.66070390359907,73.25308387039527
Barrier two Stop,33.65766744481816,73.24973528101779
Nilore Barrier,33.65327064232538,73.24181062337794
Aziz market,33.65336091926816,73.23922734347228
Thandha Pani stop,33.65158983709135,73.2328076057499
Machine stop,33.648662974570826,73.2226716090628
Arslan town,33.6449250138001,73.21298508389228
Jhang saeeda,33.64250549458422,73.20833938407876
Satramil stop,33.64309699454825,73.1996029869145
Panjgrah,33.64485572079609,73.18796002210041
Alipur bank stop,33.64521753150622,73.18103852164575
Nayi Abadi,33.64498166144382,73.1729092735639
Tramari,33.64398585235817,73.16367460335498
School Stop,33.64056012430808,73.15652758031902
Tarlai kalan stop,33.63917895296678,73.15253550391674
Paracha chowk,33.63879735939448,73.14719838775447
Ghouri garden,33.63483741513975,73.13652829438709
Barma Stop,33.63347387931456,73.13239982042718
Sanam Chowk,33.632600864672156,73.12678547071337
Khanna Pull,33.629066433587276,73.11526595538567
Zia Masjid West,33.63668769000383,73.10763467004057
Kurri Road Stop West,33.642193214256245,73.10351870080953
Iqbal Town West,33.645806853745476,73.10083330485232
Dhokala khan West,33.649749793517245,73.09777224534812
Sohan Stop,33.659654687487354,73.09044008201313
Faizabad,33.66238501332903,73.08349208648382
Double Road Stop,33.654524499053394,73.06933897303074
Pindora Chungi stop,33.65201296988731,73.06447347608834
Katarian pull,33.6463329182114,73.05360499974752
Khayaban Sir Syed Stop,33.64113839601083, 73.04377544097599
Pir Wadhai/Mandi Mor,33.63525916664656,73.03251097303296		
