Stop Name,latitude,longitude
Mandi Morh,33.635708745999196,73.03248850758813
Khayaban Sir Syed Stop,33.64159049549342, 73.04325962961717
Katarian Stop,33.64693560027589,73.053457370115
Pindora Chungi stop,33.65250496272469,73.06412869613467
Double Road Stop,33.65593687083384,73.07141479179884
Faizabad Stop,33.66193108730172,73.08224207824897
Sohan Stop East,33.6596744711234,73.09118449495203
Dhok kala khan East,33.65015587630815,73.09837107341687
Iqbal Town East,33.64578958531158,73.10164999222215
Kurri Road Stop East,33.642735904258174,73.10380448996193
Zia Masjid East,33.6372273508452,73.10796747323458
Khanna Pull North Stop,33.62938434321921,73.1157444149215
Sanam Chowk North,33.63283386570854,73.12705075640503
Barma Stop North,33.633766450900644,73.13292936094761
Ghouri Garden North,33.63496470807628,73.13616647188063
Paracha chowk North,33.63912107432002,73.14766372548762
Tarlai kallan North,33.63935664376128,73.15258782486988
School Stop North,33.640572097867135,73.15623894156548
Tramari Stop North,33.644540406222895,73.16473851368535
Nayi Abadi North,33.645221251844006,73.17282685326184
Alipur bank stop,33.64542283203187,73.18110353782303
Panjgrah Stop,33.64509137686082,73.1876664692895
Satramil stop,33.643369870410446,73.19940673421135
Jhang saeeda,33.642685546319555,73.20798618704767
Arslan town,33.64507440542467,73.21266615215994
Machine stop,33.64842630205639,73.22161846067009
Thandha Pani stop,33.65196642795512,73.23225991745483
Aziz Market,33.653559701067046,73.23926270420338
Nilore Barrier,33.65346246381382,73.24166872381493
Barrier Two	stop,33.65772065070499,73.24964568706
Dargala Morh,33.66077638717643,73.25316672453478
Tumair stop,33.66091964273986,73.25867406540425
Chirah chowk,33.656509537193756,73.27822600252249
